Type,From,To,Crypto,USD,Txn,ID
Bid Withdrawn,natealex,NA,69,25532,2020-09-16,0
Bid,natealex,NA,69,25104,2020-09-15,0
Bid Withdrawn,natealex,NA,49,7031,2020-01-11,0
Bid,natealex,NA,49,6786,2020-01-09,0
Bid Withdrawn,natealex,NA,44,6329,2020-01-08,0
Bid,natealex,NA,44,5905,2019-12-30,0
Bid Withdrawn,natealex,NA,0,1,2019-12-30,0
Bid,natealex,NA,0,1,2019-12-30,0
Bid Withdrawn,GoWest23,NA,18.5,4544,2019-05-23,0
Bid,GoWest23,NA,18.5,4504,2019-05-22,0
Bid Withdrawn,PsyRen,NA,40,6597,2019-04-02,0
Bid,PsyRen,NA,40,6597,2019-04-02,0
Sold,0xf5099e,14715954,25,2822,2018-11-30,0
Bid,0xe08c32,NA,25,2822,2018-11-30,0
Offered,,NA,100,18303,2018-09-12,0
Offered,,NA,200,138566,2017-12-16,0
Bid,0x7760e0,NA,13,3132,2017-07-07,0
Bid,0x00d7c9,NA,13,3132,2017-07-07,0
Offered,,NA,400,96376,2017-07-07,0
Transfer,0xa0a59c,16058782,NA,NA,2017-07-07,0
Sold,0x00d7c9,10528156,1.6,386,2017-07-07,0
Bid,0xa0a59c,NA,1.6,386,2017-07-07,0
Bid,0x7760e0,NA,1.53,422,2017-07-03,0
Bid,0xa0a59c,NA,1.52,422,2017-07-03,0
Bid,0x7760e0,NA,1.3,369,2017-07-02,0
Bid,0xa0a59c,NA,1.3,369,2017-07-02,0
Bid,0x717403,NA,0.05,14,2017-06-25,0
Sold,0xc352b5,55241,0.98,320,2017-06-23,0
Bid,0x00d7c9,NA,0.98,320,2017-06-23,0
Bid,0x948a10,NA,0.6699999999999999,219,2017-06-23,0
Claimed,,12800693,NA,NA,2017-06-23,0
Transfer,0xcf6165,0xb88f61,NA,NA,2020-11-30,1
Sold,EliteCat…,0xcf6165,60,36305,2020-11-30,1
Bid,0xcf6165,,60,36305,2020-11-30,1
Offered,,,79.5,46842,2020-11-25,1
Bid Withdrawn,natealex,,50,30187,2020-11-23,1
Bid,natealex,,50,29918,2020-11-23,1
Offered,,,119.1,65980,2020-11-22,1
Offered,,,249.9,90921,2020-09-15,1
Offer Withdrawn,,,NA,NA,2020-09-14,1
Offered,,,149.5,54973,2020-09-10,1
Offer Withdrawn,,,NA,NA,2020-05-27,1
Bid Withdrawn,DANNY,,40,8107,2020-05-14,1
Offered,,,299,60811,2020-05-14,1
Bid,DANNY,,40,8088,2020-05-14,1
Offered,,,189,40461,2020-05-08,1
Offer Withdrawn,,,NA,NA,2020-05-08,1
Offered,,,349,91274,2020-02-22,1
Offer Withdrawn,,,NA,NA,2020-02-22,1
Offered,,,89,25310,2020-02-18,1
Offer Withdrawn,,,NA,NA,2020-02-18,1
Offered,,,699,149453,2020-02-06,1
Offer Withdrawn,,,NA,NA,2020-01-17,1
Offered,,,599,87406,2019-12-10,1
Transfer,EliteNFT,EliteCat…,NA,NA,2019-06-09,1
Offered,,,895,155461,2019-05-06,1
Transfer,EliteCat…,EliteNFT,NA,NA,2019-04-13,1
Transfer,GoWest23,EliteCat…,NA,NA,2019-04-06,1
Sold,0xf5099e,GoWest23,31,5155,2019-04-06,1
Bid Withdrawn,GoWest23,,21.5,3575,2019-04-06,1
Bid,GoWest23,,21.5,3575,2019-04-06,1
Offered,,,31,4153,2019-03-25,1
Offered,,,32,3824,2019-02-08,1
Bid Withdrawn,jmg,,5,747,2019-01-03,1
Offered,,,32.14,4210,2018-12-25,1
Bid,jmg,,5,704,2018-12-24,1
Offered,,,45,5920,2018-12-23,1
Offered,,,50,5644,2018-11-30,1
Offered,,,75,13727,2018-09-12,1
Bid Withdrawn,0x55c016,,0.05,50,2018-02-03,1
Bid,0x55c016,,0.05,24,2017-12-05,1
Offered,,,100,46281,2017-12-03,1
Offered,,,300,72282,2017-07-07,1
Transfer,0xa0a59c,0xf5099e,NA,NA,2017-07-07,1
Bid,0x7760e0,,0.05,16,2017-06-28,1
Offered,,,300,85842,2017-06-27,1
Sold,0xc352b5,0xa0a59c,0.42000000000000004,107,2017-06-26,1
Bid,0xa0a59c,,0.42000000000000004,107,2017-06-26,1
Bid,0x717403,,0.35,98,2017-06-25,1
Bid,sov,,0.35,98,2017-06-25,1
Bid,0xa0a59c,,0.01,1,2017-06-25,1
Bid Withdrawn,sov,,0.2,61,2017-06-24,1
Bid,sov,,0.2,61,2017-06-24,1
Claimed,,0xc352b5,NA,NA,2017-06-23,1
Bid Withdrawn,DANNY,NA,20,6914,2020-09-21,2
Bid,DANNY,NA,20,7400,2020-09-20,2
Bid Withdrawn,0x9b35db,NA,9,3532,2020-08-24,2
Bid,0x9b35db,NA,9,3504,2020-08-22,2
Bid Withdrawn,natealex,NA,8,1125,2020-01-07,2
Bid,natealex,NA,8,1071,2020-01-04,2
Bid Withdrawn,jmg,NA,3.3499999999999996,431,2020-01-01,2
Bid,jmg,NA,3.3499999999999996,433,2019-12-31,2
Bid Withdrawn,jmg,NA,4,500,2019-12-28,2
Bid,jmg,NA,4,724,2019-10-02,2
Bid Withdrawn,jmg,NA,3.5,634,2019-10-02,2
Bid,jmg,NA,3.5,634,2019-09-12,2
Bid Withdrawn,jmg,NA,2.7,489,2019-09-12,2
Bid,jmg,NA,2.7,504,2019-08-25,2
Bid,0x7760e0,NA,1.1,270,2017-07-08,2
Bid,0x00d7c9,NA,1.1,270,2017-07-08,2
Bid,0x7760e0,NA,1,246,2017-07-08,2
Bid,0x00d7c9,NA,1,246,2017-07-08,2
Bid,0x8b27de,NA,0.51,123,2017-07-07,2
Bid Withdrawn,0xa0a59c,NA,0.42000000000000004,117,2017-06-25,2
Bid,0xa0a59c,NA,0.42000000000000004,117,2017-06-25,2
Claimed,,12800693,NA,NA,2017-06-23,2
Bid Withdrawn,jmg,NA,33,11638,2020-10-04,3
Bid,jmg,NA,33,11944,2020-09-28,3
Bid Withdrawn,Alex3422,NA,5,1215,2020-06-06,3
Bid,Alex3422,NA,5,1197,2020-06-01,3
Bid,0x7760e0,NA,1.1,270,2017-07-08,3
Bid,0x00d7c9,NA,1.1,270,2017-07-08,3
Bid,0x7760e0,NA,1,246,2017-07-08,3
Bid,0x00d7c9,NA,1,246,2017-07-08,3
Bid,0x7760e0,NA,0.05,14,2017-07-02,3
Bid Withdrawn,0x00d7c9,NA,0.37,104,2017-06-30,3
Bid,0x00d7c9,NA,0.37,117,2017-06-28,3
Bid,0x717403,NA,0.06,15,2017-06-26,3
Bid,0x9be1c7,NA,0.06,15,2017-06-26,3
Bid,0x717403,NA,0.05,13,2017-06-26,3
Claimed,,12800693,NA,NA,2017-06-23,3
Bid Withdrawn,natealex,NA,4.4,621,2020-01-06,4
Bid,natealex,NA,4.4,589,2020-01-04,4
Bid Withdrawn,Carlini8,NA,2,255,2020-01-03,4
Bid,Carlini8,NA,2,264,2020-01-01,4
Bid Withdrawn,jmg,NA,2,250,2019-12-28,4
Bid,jmg,NA,2,373,2019-08-25,4
Bid Withdrawn,0x00d7c9,NA,1,238,2017-07-09,4
Bid,0x00d7c9,NA,1,246,2017-07-08,4
Bid,ddaavvee,NA,0.1,28,2017-06-25,4
Claimed,,12800693,NA,NA,2017-06-23,4
Bid Withdrawn,55241,NA,1,238,2017-07-09,5
Bid,55241,NA,1,246,2017-07-08,5
Bid Withdrawn,7435267,NA,0.06,16,2017-07-04,5
Bid,7435267,NA,0.06,15,2017-06-26,5
Bid,10215879,NA,0.06,15,2017-06-26,5
Claimed,NA,12800693,NA,NA,2017-06-23,5
Bid Withdrawn,55241,NA,1,238,2017-07-09,6
Bid,55241,NA,1,246,2017-07-08,6
Bid,7435267,NA,0.06,15,2017-06-26,6
Bid,10215879,NA,0.06,15,2017-06-26,6
Claimed,NA,12800693,NA,NA,2017-06-23,6
Bid Withdrawn,Michel_M…,NA,1.75,551,2020-07-26,7
Bid,Michel_M…,NA,1.75,428,2020-07-13,7
Bid Withdrawn,jmg,NA,6,965,2020-01-25,7
Bid,jmg,NA,6,960,2020-01-25,7
Bid,MrTpunks,NA,5.5,898,2020-01-24,7
Bid,jmg,NA,5,816,2020-01-24,7
Bid Withdrawn,Pranksy,NA,1,136,2020-01-05,7
Bid,Pranksy,NA,1,132,2020-01-01,7
Bid Withdrawn,0x00d7c9,NA,1,238,2017-07-09,7
Bid,0x00d7c9,NA,1,246,2017-07-08,7
Bid,0x9be1c7,NA,0.06,15,2017-06-26,7
Claimed,,12800693,NA,NA,2017-06-23,7
Bid Withdrawn,Michel_M…,NA,2.15,945,2020-08-14,8
Bid,Michel_M…,NA,2.15,918,2020-08-14,8
Bid Withdrawn,MBK,NA,2,409,2020-05-24,8
Bid,MBK,NA,2,422,2020-05-21,8
Bid Withdrawn,jmg,NA,5,804,2020-01-25,8
Bid,jmg,NA,5,808,2020-01-24,8
Bid Withdrawn,0x43b89f,NA,0.1,31,2017-10-18,8
Bid,0x43b89f,NA,0.1,38,2017-08-30,8
Bid Withdrawn,0x00d7c9,NA,1,238,2017-07-09,8
Bid,0x00d7c9,NA,1,246,2017-07-08,8
Bid,0x8b27de,NA,0.49,118,2017-07-07,8
Bid,0x717403,NA,0.06,15,2017-06-26,8
Bid,0x9be1c7,NA,0.06,15,2017-06-26,8
Claimed,,12800693,NA,NA,2017-06-23,8
Bid Withdrawn,jmg,NA,36,13597,2020-10-14,9
Bid,jmg,NA,36,13669,2020-10-13,9
Bid Withdrawn,jmg,NA,27.5,9493,2020-10-02,9
Bid,jmg,NA,27.5,9986,2020-09-28,9
Bid,jmg,NA,25,8839,2020-09-26,9
Bid Withdrawn,jmg,NA,20,7071,2020-09-26,9
Bid,jmg,NA,20,7400,2020-09-20,9
Bid Withdrawn,Alex3422,NA,6,1443,2020-06-04,9
Bid,Alex3422,NA,6,1437,2020-06-01,9
Bid Withdrawn,Pranksy,NA,4,794,2020-05-22,9
Bid,Pranksy,NA,4,839,2020-05-20,9
Bid Withdrawn,jmg,NA,5,804,2020-01-25,9
Bid,jmg,NA,5,832,2020-01-20,9
Bid Withdrawn,jmg,NA,2,362,2019-09-12,9
Bid,jmg,NA,2,377,2019-08-26,9
Bid Withdrawn,0xa1179f,NA,1.8,314,2019-04-18,9
Bid,0xa1179f,NA,1.8,301,2019-04-17,9
Bid Withdrawn,jmg,NA,1.5,263,2019-04-07,9
Bid,jmg,NA,1.5,217,2019-03-29,9
Bid Withdrawn,jmg,NA,1.5,217,2019-03-29,9
Bid,jmg,NA,1.5,217,2019-03-29,9
Bid Withdrawn,0x00bd3a,NA,1.25,924,2017-12-29,9
Bid,0x00bd3a,NA,1.25,282,2017-07-24,9
Bid Withdrawn,0x00bd3a,NA,1.2,274,2017-07-23,9
Bid,0x00bd3a,NA,1.2,260,2017-07-21,9
Bid Withdrawn,0x00d7c9,NA,1,238,2017-07-09,9
Bid,0x00d7c9,NA,1,246,2017-07-08,9
Bid Withdrawn,0xa0a59c,NA,0.2,48,2017-07-07,9
Bid,0xa0a59c,NA,0.2,63,2017-06-28,9
Bid,0x9be1c7,NA,0.06,15,2017-06-26,9
Claimed,,12800693,NA,NA,2017-06-23,9
Bid Withdrawn,55241,NA,0.6,123,2017-07-10,10
Bid,55241,NA,0.6,123,2017-07-10,10
Bid Withdrawn,55241,NA,1,238,2017-07-09,10
Bid,55241,NA,1,246,2017-07-08,10
Bid Withdrawn,8305882,NA,0.6,145,2017-07-07,10
Bid,8305882,NA,0.6,145,2017-07-07,10
Bid,7435267,NA,0.06,15,2017-06-26,10
Bid,10215879,NA,0.06,15,2017-06-26,10
Claimed,NA,12800693,NA,NA,2017-06-23,10
Claimed,NA,12800693,NA,NA,2017-06-23,11
Bid Withdrawn,Pranksy,NA,0.5,65,2020-01-02,12
Bid,Pranksy,NA,0.5,66,2020-01-01,12
Bid,0x717403,NA,0.05,13,2017-06-26,12
Claimed,,12800693,NA,NA,2017-06-23,12
Bid Withdrawn,jmg,NA,13,4910,2020-10-14,13
Bid,jmg,NA,13,4538,2020-10-03,13
Bid Withdrawn,Pranksy,NA,3.3299999999999996,661,2020-05-22,13
Bid,Pranksy,NA,3.3299999999999996,699,2020-05-20,13
Bid Withdrawn,jmg,NA,3.5,477,2020-01-09,13
Bid,jmg,NA,3.5,506,2020-01-07,13
Bid Withdrawn,jmg,NA,2,289,2020-01-07,13
Bid,jmg,NA,2,263,2020-01-01,13
Bid,0x717403,NA,0.05,13,2017-06-26,13
Claimed,,12800693,NA,NA,2017-06-23,13
Bid Withdrawn,robers,,0.5,83,2020-04-10,14
Bid,robers,,0.5,86,2019-04-22,14
Offer Withdrawn,,,NA,NA,2018-12-08,14
Offered,,,5.5,515,2018-12-07,14
Sold,0x582fa7,0x7c00c9…,2.5,234,2018-12-07,14
Offered,,,2.5,1884,2017-12-26,14
Sold,0xd8e806,0x582fa7,1.85,351,2017-07-17,14
Offered,,,1.85,365,2017-07-14,14
Offered,,,1.9,375,2017-07-14,14
Offered,,,2,394,2017-07-14,14
Sold,0xc352b5,0xd8e806,0.9,185,2017-07-13,14
Offered,,,0.9,185,2017-07-13,14
Bid,0x3a6372,,0.1,22,2017-07-12,14
Bid Withdrawn,Hemba,,0.61,145,2017-07-09,14
Bid,Hemba,,0.61,145,2017-07-09,14
Bid,0x717403,,0.32999999999999996,88,2017-07-06,14
Bid,0x6611fe,,0.32999999999999996,88,2017-07-06,14
Bid,0x7760e0,,0.1,28,2017-07-02,14
Bid,0x6611fe,,0.1,28,2017-07-02,14
Bid,0x7760e0,,0.05,16,2017-06-28,14
Bid Withdrawn,0x00d7c9,,0.36,114,2017-06-28,14
Bid,0x00d7c9,,0.36,114,2017-06-28,14
Bid,0x717403,,0.05,14,2017-06-25,14
Claimed,,0xc352b5,NA,NA,2017-06-23,14
Bid Withdrawn,3026470,NA,0.75,276,2020-10-01,15
Bid,3026470,NA,0.75,89,2018-12-22,15
Bid,7435267,NA,0.1,28,2017-06-25,15
Bid,55241,NA,0.1,30,2017-06-24,15
Claimed,NA,12800693,NA,NA,2017-06-23,15
Claimed,NA,12800693,NA,NA,2017-06-23,16
Bid,1150695,NA,0.01,0,2020-03-10,17
Claimed,NA,12800693,NA,NA,2017-06-23,17
Claimed,NA,12800693,NA,NA,2017-06-23,18
Bid Withdrawn,Dude_Nak…,NA,2.3,470,2020-05-26,19
Bid,Dude_Nak…,NA,2.3,464,2020-05-22,19
Claimed,,12800693,NA,NA,2017-06-23,19
Claimed,NA,12800693,NA,NA,2017-06-23,20
Claimed,NA,12800693,NA,NA,2017-06-23,21
Bid Withdrawn,m01222,NA,6.5,2381,2020-10-16,22
Bid,m01222,NA,6.5,2484,2020-10-13,22
Bid Withdrawn,Pranksy,NA,9,1858,2020-05-27,22
Bid,Pranksy,NA,9,1853,2020-05-27,22
Bid Withdrawn,Pranksy,NA,8,1614,2020-05-27,22
Bid,Pranksy,NA,8,1627,2020-05-26,22
Bid Withdrawn,Pranksy,NA,4,794,2020-05-22,22
Bid,Pranksy,NA,4,839,2020-05-20,22
Bid Withdrawn,Alex3422,NA,5,833,2020-01-26,22
Bid,Alex3422,NA,5,815,2020-01-26,22
Bid Withdrawn,Pranksy,NA,3.9899999999999998,608,2020-01-14,22
Bid,Pranksy,NA,3.9899999999999998,575,2020-01-14,22
Bid,Pranksy,NA,2.5,360,2020-01-14,22
Bid Withdrawn,Pranksy,NA,1.25,170,2020-01-05,22
Bid,Pranksy,NA,1.25,165,2020-01-01,22
Bid Withdrawn,Zieg,NA,0.8,161,2017-07-31,22
Bid,Zieg,NA,0.8,161,2017-07-31,22
Bid Withdrawn,Hemba,NA,0.51,136,2017-07-06,22
Bid,Hemba,NA,0.51,136,2017-07-06,22
Bid,0x7760e0,NA,0.1,28,2017-07-02,22
Bid,0x6611fe,NA,0.1,28,2017-07-02,22
Bid,0x717403,NA,0.06,15,2017-06-26,22
Bid,0x9be1c7,NA,0.06,15,2017-06-26,22
Bid,0x717403,NA,0.05,14,2017-06-25,22
Claimed,,12800693,NA,NA,2017-06-23,22
Bid Withdrawn,1093279,NA,0.1,74,2017-12-27,23
Bid,1093279,NA,0.1,74,2017-12-27,23
Bid,14158988,NA,0.02,16,2017-12-13,23
Claimed,NA,12800693,NA,NA,2017-06-23,23
Bid Withdrawn,Korniej,NA,3,1037,2020-09-21,24
Bid,Korniej,NA,3,1124,2020-09-21,24
Bid Withdrawn,Choyna,NA,0.5,114,2020-06-28,24
Bid,Choyna,NA,0.5,114,2020-06-27,24
Claimed,,12800693,NA,NA,2017-06-23,24
Bid Withdrawn,0x0601d0,NA,3,565,2020-05-11,25
Bid,0x0601d0,NA,3,571,2020-05-10,25
Bid Withdrawn,Pranksy,NA,1,132,2020-01-03,25
Bid,Pranksy,NA,1,132,2020-01-01,25
Claimed,,12800693,NA,NA,2017-06-23,25
Claimed,NA,12800693,NA,NA,2017-06-23,26
Claimed,NA,12800693,NA,NA,2017-06-23,27
Bid,7435267,NA,0.06,15,2017-06-26,28
Bid,10215879,NA,0.06,15,2017-06-26,28
Claimed,NA,12800693,NA,NA,2017-06-23,28
Claimed,NA,12800693,NA,NA,2017-06-23,29
Claimed,NA,12800693,NA,NA,2017-06-23,30
Claimed,NA,12800693,NA,NA,2017-06-23,31
Claimed,NA,12800693,NA,NA,2017-06-23,32
Bid Withdrawn,dafky200…,NA,2,813,2020-11-04,33
Bid,dafky200…,NA,2,770,2020-11-02,33
Sold,0xc352b5,6689278,0.51,105,2017-07-10,33
Bid,0x6611fe,NA,0.51,123,2017-07-07,33
Claimed,,12800693,NA,NA,2017-06-23,33
Claimed,NA,12800693,NA,NA,2017-06-23,34
Bid Withdrawn,12559129,NA,0.23,62,2020-02-16,35
Bid,12559129,NA,0.23,62,2020-02-16,35
Claimed,NA,12800693,NA,NA,2017-06-23,35
Bid Withdrawn,scalynel…,NA,16,6092,2020-10-30,36
Bid,scalynel…,NA,16,6229,2020-10-29,36
Bid Withdrawn,scalynel…,NA,6,1408,2020-06-11,36
Bid,scalynel…,NA,6,1464,2020-06-10,36
Bid Withdrawn,scalynel…,NA,4,955,2020-06-02,36
Bid,scalynel…,NA,4,986,2020-06-02,36
Claimed,,12800693,NA,NA,2017-06-23,36
Claimed,NA,12800693,NA,NA,2017-06-23,37
Claimed,NA,12800693,NA,NA,2017-06-23,38
Claimed,NA,12800693,NA,NA,2017-06-23,39
Bid Withdrawn,7435267,NA,0.05,14,2017-06-30,40
Bid,7435267,NA,0.05,13,2017-06-26,40
Claimed,NA,12800693,NA,NA,2017-06-23,40
Claimed,NA,12800693,NA,NA,2017-06-23,41
Bid Withdrawn,7362764,NA,0.01,1,2018-02-14,42
Bid,7362764,NA,0.01,1,2018-02-14,42
Bid Withdrawn,10528156,NA,0.42000000000000004,96,2017-07-23,42
Bid,10528156,NA,0.42000000000000004,97,2017-07-22,42
Claimed,NA,12800693,NA,NA,2017-06-23,42
Bid Withdrawn,TweetyPi…,NA,0.6599999999999999,86,2020-01-01,43
Bid,TweetyPi…,NA,0.6599999999999999,87,2020-01-01,43
Claimed,,12800693,NA,NA,2017-06-23,43
Claimed,NA,12800693,NA,NA,2017-06-23,44
Claimed,NA,12800693,NA,NA,2017-06-23,45
Claimed,NA,12800693,NA,NA,2017-06-23,46
Claimed,NA,12800693,NA,NA,2017-06-23,47
Bid Withdrawn,Carlini8,NA,2,431,2020-02-06,48
Bid,Carlini8,NA,2,264,2020-01-01,48
Claimed,,12800693,NA,NA,2017-06-23,48
Claimed,NA,12800693,NA,NA,2017-06-23,49
Bid Withdrawn,Hemba,NA,0.5,119,2017-07-09,50
Bid,Hemba,NA,0.5,119,2017-07-09,50
Claimed,,12800693,NA,NA,2017-06-23,50
Claimed,NA,12800693,NA,NA,2017-06-23,51
Claimed,NA,12800693,NA,NA,2017-06-23,52
Bid Withdrawn,Carlini8,NA,2,255,2020-01-03,53
Bid,Carlini8,NA,2,264,2020-01-01,53
Claimed,,12800693,NA,NA,2017-06-23,53
Bid Withdrawn,0x754fe6,NA,3,1016,2020-10-07,54
Bid,0x754fe6,NA,3,1016,2020-10-07,54
Bid Withdrawn,Pranksy,NA,1,136,2020-01-05,54
Bid,Pranksy,NA,1,132,2020-01-01,54
Claimed,,12800693,NA,NA,2017-06-23,54
Claimed,NA,12800693,NA,NA,2017-06-23,55
Claimed,NA,12800693,NA,NA,2017-06-23,56
Claimed,NA,12800693,NA,NA,2017-06-23,57
Bid Withdrawn,MrTpunks,NA,5,1119,2020-06-15,58
Bid,MrTpunks,NA,5,1181,2020-06-13,58
Bid Withdrawn,Pranksy,NA,1,129,2020-01-02,58
Bid,Pranksy,NA,1,132,2020-01-01,58
Bid Withdrawn,0x7f3560,NA,0.02,2,2018-12-17,58
Bid,0x7f3560,NA,0.02,5,2018-10-05,58
Bid,0x824679,NA,0.02,14,2017-12-17,58
Bid,0x443b1a,NA,0,5,2017-12-03,58
Claimed,,12800693,NA,NA,2017-06-23,58
Bid Withdrawn,7823584,NA,0.05,14,2017-07-04,59
Bid,7823584,NA,0.05,14,2017-07-02,59
Claimed,NA,12800693,NA,NA,2017-06-23,59
Claimed,NA,12800693,NA,NA,2017-06-23,60
Bid,7435267,NA,0.25,67,2017-07-05,61
Bid,6689278,NA,0.25,66,2017-07-05,61
Claimed,NA,12800693,NA,NA,2017-06-23,61
Bid Withdrawn,2pac,NA,6.2,3056,2020-11-26,62
Bid,2pac,NA,6.2,3239,2020-11-26,62
Claimed,,12800693,NA,NA,2017-06-23,62
Claimed,NA,12800693,NA,NA,2017-06-23,63
Bid Withdrawn,Pranksy,NA,1.5,298,2020-05-22,64
Bid,Pranksy,NA,1.5,315,2020-05-20,64
Bid Withdrawn,Pranksy,NA,1,129,2020-01-02,64
Bid,Pranksy,NA,1,132,2020-01-01,64
Claimed,,12800693,NA,NA,2017-06-23,64
Claimed,NA,12800693,NA,NA,2017-06-23,65
Bid Withdrawn,Michel_M…,NA,0.6599999999999999,208,2020-07-26,66
Bid,Michel_M…,NA,0.6599999999999999,161,2020-07-13,66
Bid Withdrawn,TweetyPi…,NA,2.5,515,2020-05-27,66
Bid,TweetyPi…,NA,2.5,515,2020-05-27,66
Claimed,,12800693,NA,NA,2017-06-23,66
Bid Withdrawn,snax,NA,4,1541,2020-09-18,67
Bid,snax,NA,4,1502,2020-09-15,67
Bid Withdrawn,Pranksy,NA,2,397,2020-05-22,67
Bid,Pranksy,NA,2,420,2020-05-20,67
Claimed,,12800693,NA,NA,2017-06-23,67
Claimed,NA,12800693,NA,NA,2017-06-23,68
Bid Withdrawn,ddaavvee,NA,5,1804,2020-09-27,69
Bid,ddaavvee,NA,5,1894,2020-09-15,69
Bid Withdrawn,NFTcrypt…,NA,0.7,267,2020-08-25,69
Bid,NFTcrypt…,NA,0.7,270,2020-08-23,69
Bid Withdrawn,hhhh,NA,0.69,94,2020-01-10,69
Bid,hhhh,NA,0.69,92,2020-01-03,69
Claimed,,12800693,NA,NA,2017-06-23,69
Claimed,NA,12800693,NA,NA,2017-06-23,70
Claimed,NA,12800693,NA,NA,2017-06-23,71
Bid Withdrawn,15595446,NA,0.69,430,2020-12-22,72
Bid,15595446,NA,0.69,267,2020-10-13,72
Bid,13106532,NA,0.2,74,2020-09-21,72
Bid,7435267,NA,0.05,13,2017-06-26,72
Claimed,NA,12800693,NA,NA,2017-06-23,72
Claimed,NA,12800693,NA,NA,2017-06-23,73
Claimed,NA,12800693,NA,NA,2017-06-23,74
Claimed,NA,12800693,NA,NA,2017-06-23,75
Claimed,NA,12800693,NA,NA,2017-06-23,76
Claimed,NA,12800693,NA,NA,2017-06-23,77
Claimed,NA,12800693,NA,NA,2017-06-23,78
Claimed,NA,12800693,NA,NA,2017-06-23,79
Claimed,NA,12800693,NA,NA,2017-06-23,80
Claimed,NA,12800693,NA,NA,2017-06-23,81
Claimed,NA,12800693,NA,NA,2017-06-23,82
Claimed,NA,12800693,NA,NA,2017-06-23,83
Claimed,NA,12800693,NA,NA,2017-06-23,84
Claimed,NA,12800693,NA,NA,2017-06-23,85
Claimed,NA,12800693,NA,NA,2017-06-23,86
Bid Withdrawn,Michel_M…,NA,1.25,306,2020-07-22,87
Bid,Michel_M…,NA,1.25,305,2020-07-13,87
Claimed,,12800693,NA,NA,2017-06-23,87
Bid,robers,NA,3,1884,2020-12-25,88
Bid Withdrawn,0x99a594,NA,0.15000000000000002,142,2018-01-04,88
Bid,0x99a594,NA,0.15000000000000002,142,2018-01-04,88
Bid,Slush,NA,0.05,38,2017-12-26,88
Bid Withdrawn,0x43b89f,NA,0.1,31,2017-10-18,88
Bid,0x43b89f,NA,0.1,38,2017-08-30,88
Claimed,,12800693,NA,NA,2017-06-23,88
Bid Withdrawn,Kataster…,,16,5443,2020-09-06,89
Sold,jmg,TokenAng…,19.99,6898,2020-09-06,89
Bid,Kataster…,,16,5521,2020-09-06,89
Offered,,,19.99,6898,2020-09-06,89
Sold,0x052564,jmg,20,4138,2020-05-28,89
Offered,,,45,9352,2020-05-28,89
Bid,jmg,,20,4137,2020-05-27,89
Offered,,,50,10366,2020-05-27,89
Transfer,0xd8e806,0x052564,NA,NA,2018-06-12,89
Offered,,,2,2301,2018-01-20,89
Offer Withdrawn,,,NA,NA,2017-12-12,89
Offered,,,0.99,301,2017-10-31,89
Offered,,,1,308,2017-10-06,89
Offered,,,1.35,386,2017-09-23,89
Offered,,,1.8,510,2017-09-20,89
Offered,,,2.4899999999999998,732,2017-09-12,89
Offered,,,2.5,869,2017-08-28,89
Offered,,,3,895,2017-08-20,89
Offered,,,3.5,1038,2017-08-13,89
Offered,,,3.9899999999999998,1229,2017-08-12,89
Offer Withdrawn,,,NA,NA,2017-08-02,89
Offered,,,3.3899999999999997,766,2017-08-01,89
Offered,,,3.4899999999999998,703,2017-07-31,89
Offered,,,3.5,705,2017-07-31,89
Offer Withdrawn,,,NA,NA,2017-07-26,89
Offered,,,3,611,2017-07-25,89
Offer Withdrawn,,,NA,NA,2017-07-18,89
Offered,,,2,454,2017-07-18,89
Offered,,,2.4899999999999998,473,2017-07-17,89
Offered,,,3,570,2017-07-17,89
Offer Withdrawn,,,NA,NA,2017-07-13,89
Offered,,,4,897,2017-07-12,89
Sold,0xc352b5,0xd8e806,1.5,336,2017-07-12,89
Bid,0xd8e806,,1.5,336,2017-07-12,89
Bid,0xa0a59c,,0.42000000000000004,112,2017-07-05,89
Bid,0x7760e0,,0.35,93,2017-07-05,89
Bid,0x00bd3a,,0.35,94,2017-07-04,89
Bid,0x7760e0,,0.3,81,2017-07-04,89
Bid,0xa0a59c,,0.3,83,2017-07-03,89
Bid Withdrawn,Hemba,,0.3,84,2017-07-02,89
Bid,Hemba,,0.3,87,2017-06-29,89
Claimed,,0xc352b5,NA,NA,2017-06-23,89
Claimed,NA,12800693,NA,NA,2017-06-23,90
Claimed,NA,12800693,NA,NA,2017-06-23,91
Bid Withdrawn,Pranksy,NA,4,794,2020-05-22,92
Bid,Pranksy,NA,4,839,2020-05-20,92
Bid Withdrawn,Pranksy,NA,1.25,170,2020-01-05,92
Bid,Pranksy,NA,1.25,165,2020-01-01,92
Bid Withdrawn,TokenAng…,NA,0.3,79,2019-06-14,92
Bid,TokenAng…,NA,0.3,69,2019-06-09,92
Bid Withdrawn,Snowfro,NA,2.75,397,2019-03-29,92
Bid,Snowfro,NA,2.75,397,2019-03-29,92
Bid Withdrawn,Snowfro,NA,2.5,361,2019-03-29,92
Bid,Snowfro,NA,2.5,361,2019-03-29,92
Bid Withdrawn,Snowfro,NA,2.25,325,2019-03-29,92
Bid,Snowfro,NA,2.25,311,2019-03-28,92
Bid Withdrawn,Snowfro,NA,2,277,2019-03-28,92
Bid,Snowfro,NA,2,277,2019-03-28,92
Bid Withdrawn,Snowfro,NA,1.5,208,2019-03-28,92
